"D1","Territorio","D2","Tipo dato","D7","Sesso","D8","Classe di età","D9","Paese di nascita","D10","Qualifica professionale","D13","Seleziona periodo","Value","Flag Codes","Flags"
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","WORLD","Mondo","6","operaio","2017","2017",1523272,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","WORLD","Mondo","7","apprendista","2016","2016",63074.61,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","WORLD","Mondo","7","apprendista","2017","2017",69801.93,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","WORLD","Mondo","99","totale","2016","2016",2463193.59,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","WORLD","Mondo","99","totale","2017","2017",2560782.56,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","WORLD","Mondo","27","altro dipendente","2016","2016",12513.36,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE15","15 anni e più","WORLD","Mondo","27","altro dipendente","2017","2017",13179.99,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","2","dirigente","2016","2016",20679.31,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","2","dirigente","2017","2017",19999.52,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","3","quadro","2016","2016",74220.5,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","3","quadro","2017","2017",73886.94,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","4","impiegato","2016","2016",434990.74,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","4","impiegato","2017","2017",438184.48,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","6","operaio","2016","2016",610721.96,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","6","operaio","2017","2017",610823.88,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","7","apprendista","2016","2016",4357.01,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","7","apprendista","2017","2017",4192.23,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","99","totale","2016","2016",1151206.15,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","99","totale","2017","2017",1153389.15,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","27","altro dipendente","2016","2016",6236.63,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","IT","Italia","27","altro dipendente","2017","2017",6302.1,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","WORLD","Mondo","2","dirigente","2016","2016",21753.36,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","WORLD","Mondo","2","dirigente","2017","2017",21059.35,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","WORLD","Mondo","3","quadro","2016","2016",76582.17,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","WORLD","Mondo","3","quadro","2017","2017",76233.53,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","WORLD","Mondo","4","impiegato","2016","2016",452676.12,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","WORLD","Mondo","4","impiegato","2017","2017",456827.05,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","WORLD","Mondo","6","operaio","2016","2016",828765.85,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","WORLD","Mondo","6","operaio","2017","2017",838870.28,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","WORLD","Mondo","7","apprendista","2016","2016",5488.03,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y30-49","30-49 anni","WORLD","Mondo","7","apprendista","2017","2017",5255.72,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","IT","Italia","2","dirigente","2016","2016",27094.89,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","IT","Italia","2","dirigente","2017","2017",27973.91,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","IT","Italia","4","impiegato","2016","2016",181863.19,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","IT","Italia","4","impiegato","2017","2017",194662.42,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","IT","Italia","7","apprendista","2016","2016",38.71,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","IT","Italia","7","apprendista","2017","2017",57.39,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","IT","Italia","27","altro dipendente","2016","2016",4470.24,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","IT","Italia","27","altro dipendente","2017","2017",4901.89,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","WORLD","Mondo","3","quadro","2016","2016",64572.67,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","WORLD","Mondo","3","quadro","2017","2017",69401.48,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","WORLD","Mondo","4","impiegato","2016","2016",188170.25,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","WORLD","Mondo","4","impiegato","2017","2017",201566.6,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","WORLD","Mondo","6","operaio","2016","2016",407590.37,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","WORLD","Mondo","6","operaio","2017","2017",441080.02,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","WORLD","Mondo","7","apprendista","2016","2016",62.93,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","WORLD","Mondo","7","apprendista","2017","2017",85.37,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","WORLD","Mondo","99","totale","2016","2016",693297.43,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","WORLD","Mondo","99","totale","2017","2017",746448.46,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","WORLD","Mondo","27","altro dipendente","2016","2016",4641.64,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y_GE50","50 anni e più","WORLD","Mondo","27","altro dipendente","2017","2017",5116.62,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","IT","Italia","3","quadro","2016","2016",632.83,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","IT","Italia","3","quadro","2017","2017",725.21,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","IT","Italia","4","impiegato","2016","2016",89817.22,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","IT","Italia","4","impiegato","2017","2017",92842.23,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","IT","Italia","6","operaio","2016","2016",163536.65,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","IT","Italia","6","operaio","2017","2017",178921.57,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","IT","Italia","7","apprendista","2016","2016",48828.75,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","IT","Italia","7","apprendista","2017","2017",54606.01,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","IT","Italia","99","totale","2016","2016",303798.24,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","IT","Italia","99","totale","2017","2017",328217.48,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","IT","Italia","27","altro dipendente","2016","2016",934.49,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","IT","Italia","27","altro dipendente","2017","2017",1069.24,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","2","dirigente","2016","2016",53.89,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","2","dirigente","2017","2017",54.19,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","3","quadro","2016","2016",732.12,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","3","quadro","2017","2017",822.47,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","4","impiegato","2016","2016",95781.35,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","4","impiegato","2017","2017",99365.6,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","6","operaio","2016","2016",222667.9,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","6","operaio","2017","2017",243321.7,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","7","apprendista","2016","2016",57523.65,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","7","apprendista","2017","2017",64460.84,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","99","totale","2016","2016",377882.61,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","99","totale","2017","2017",409295.76,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","27","altro dipendente","2016","2016",1123.7,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","1","maschi","Y15-29","15-29 anni","WORLD","Mondo","27","altro dipendente","2017","2017",1270.96,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","IT","Italia","3","quadro","2016","2016",55252.62,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","IT","Italia","3","quadro","2017","2017",57670.35,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","IT","Italia","4","impiegato","2016","2016",922359.63,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","IT","Italia","4","impiegato","2017","2017",948230.61,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","IT","Italia","6","operaio","2016","2016",462276.97,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","IT","Italia","6","operaio","2017","2017",484703.05,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","IT","Italia","7","apprendista","2016","2016",43907.79,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","IT","Italia","7","apprendista","2017","2017",47768.27,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","IT","Italia","99","totale","2016","2016",1498378.31,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","IT","Italia","99","totale","2017","2017",1554740.53,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","IT","Italia","27","altro dipendente","2016","2016",5791.19,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","IT","Italia","27","altro dipendente","2017","2017",7058.26,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","WORLD","Mondo","2","dirigente","2016","2016",9362.98,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","WORLD","Mondo","2","dirigente","2017","2017",9944.66,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","WORLD","Mondo","3","quadro","2016","2016",57627.13,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","WORLD","Mondo","3","quadro","2017","2017",60177.09,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","WORLD","Mondo","6","operaio","2016","2016",593797.71,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","WORLD","Mondo","6","operaio","2017","2017",625643.21,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","WORLD","Mondo","7","apprendista","2016","2016",49341.91,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","WORLD","Mondo","7","apprendista","2017","2017",53688.16,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","WORLD","Mondo","99","totale","2016","2016",1696664.98,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","WORLD","Mondo","99","totale","2017","2017",1766249.65,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","WORLD","Mondo","27","altro dipendente","2016","2016",8137.33,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE15","15 anni e più","WORLD","Mondo","27","altro dipendente","2017","2017",9548.16,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","IT","Italia","2","dirigente","2016","2016",5033.15,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","IT","Italia","2","dirigente","2017","2017",5191.04,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","IT","Italia","3","quadro","2016","2016",35125.4,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","IT","Italia","3","quadro","2017","2017",35412.49,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","IT","Italia","4","impiegato","2016","2016",598922.44,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","IT","Italia","4","impiegato","2017","2017",601936.37,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","IT","Italia","6","operaio","2016","2016",248849.11,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","IT","Italia","6","operaio","2017","2017",248752.97,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","IT","Italia","7","apprendista","2016","2016",4833.46,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","IT","Italia","7","apprendista","2017","2017",4492.14,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","2","dirigente","2016","2016",5412.13,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","2","dirigente","2017","2017",5615.15,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","3","quadro","2016","2016",36825.73,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","3","quadro","2017","2017",37140.85,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","4","impiegato","2016","2016",635983.96,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","4","impiegato","2017","2017",640332.75,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","6","operaio","2016","2016",334256.85,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","6","operaio","2017","2017",339132.69,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","7","apprendista","2016","2016",5499.13,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","7","apprendista","2017","2017",5146.7,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","99","totale","2016","2016",1022604.9,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","99","totale","2017","2017",1032654.8,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","27","altro dipendente","2016","2016",4627.1,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y30-49","30-49 anni","WORLD","Mondo","27","altro dipendente","2017","2017",5286.66,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE50","50 anni e più","IT","Italia","3","quadro","2016","2016",19857.77,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE50","50 anni e più","IT","Italia","3","quadro","2017","2017",21944.89,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE50","50 anni e più","IT","Italia","4","impiegato","2016","2016",196944.86,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE50","50 anni e più","IT","Italia","4","impiegato","2017","2017",215242.48,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE50","50 anni e più","IT","Italia","6","operaio","2016","2016",146674.72,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE50","50 anni e più","IT","Italia","6","operaio","2017","2017",158138.23,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE50","50 anni e più","IT","Italia","7","apprendista","2016","2016",44.04,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE50","50 anni e più","IT","Italia","7","apprendista","2017","2017",68.49,,
"ITC","Nord-ovest","AENTEMPYAA","numero dipendenti delle imprese attive (valori medi annui)","2","femmine","Y_GE50","50 anni e più","IT","Italia","99","totale","2016","2016",369202.75,,
